Term,Number of touches,Number correct,Number incorrect,definition,pinyin,trad
电影,1,,,"movie; film/CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",dian4 ying3,電影
活,2,,,to live/alive/living/work/workmanship,huo2,活
国语,1,,,"Chinese language (Mandarin), emphasizing its national nature/Chinese as a primary or secondary school subject/Chinese in the context of the Nationalist Government/Guoyu, book of historical narrative c. 10th-5th century BC",Guo2 yu3,國語
作,1,,,(bound form) worker/(bound form) workshop/(slang) troublesome; high-maintenance (person),zuo1,作
葛,1,,,surname Ge,Ge3,葛
跑,2,,,(of an animal) to paw (the ground),pao2,跑
听,2,,,smile (archaic),yin3,听
抓,1,,,to grab/to catch/to arrest/to snatch/to scratch,zhua1,抓
回来,1,,,to return; to come back,hui2 lai5,回來
毙,1,,,to die/to shoot dead/to reject/to fall forward/(suffix) to death,bi4,斃
是,4,,,to be (followed by substantives only)/correct; right; true/(respectful acknowledgement of a command) very well/(adverb for emphatic assertion),shi4,是
家里,1,,,home,jia1 li3,家裡
老婆,2,,,(coll.) wife,lao3 po2,老婆
孩子,2,,,child,hai2 zi5,孩子
老娘,1,,,"my old mother/I, this old woman/my old lady (colloquial)/maternal grandmother/midwife",lao3 niang2,老娘
怎么办,1,,,what's to be done,zen3 me5 ban4,怎麼辦
刃,1,,,edge of blade,ren4,刃
足,1,,,excessive,ju4,足
为,1,,,as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do/by (in the passive voice),wei2,為
技,1,,,skill,ji4,技
力,1,,,surname Li,Li4,力
入,1,,,"to enter; to go into/to join; to become a member of/(bound form) to conform to (as in 入時|入时[ru4shi2])/abbr. for 入聲|入声[ru4sheng1]/(on product packaging, after {number n} + {classifier}) containing (n pieces) (from Japanese 入 ""iri"")",ru4,入
生,1,,,to be born/to give birth/life/to grow/raw/uncooked/student,sheng1,生
没,3,,,(negative prefix for verbs) have not; not,mei2,沒
能,3,,,surname Neng,Neng2,能
汽车,1,,,car/automobile/bus/CL:輛|辆[liang4],qi4 che1,汽車
死,1,,,to die/impassable/uncrossable/inflexible/rigid/extremely/damned,si3,死
愿意,1,,,to wish/to want/ready/willing (to do sth),yuan4 yi4,願意
回去,2,,,to return/to go back,hui2 qu5,回去
名,1,,,name/noun (part of speech)/place (e.g. among winners)/famous/classifier for people,ming2,名
婆子,1,,,old woman,po2 zi5,婆子
可,1,,,(prefix) can; may; able to; -able/to approve; to permit/to suit/(particle used for emphasis) certainly; very,ke3,可
得,1,,,to obtain/to get/to gain/to catch (a disease)/proper/suitable/proud/contented/to allow/to permit/ready/finished,de2,得
好,2,,,good/appropriate; proper/all right!/(before a verb) easy to/(before a verb) good to/(before an adjective for exclamatory effect) so/(verb complement indicating completion)/(of two people) close; on intimate terms/(after a personal pronoun) hello,hao3,好
烧,1,,,"to burn/to cook/to stew/to bake/to roast/to heat/to boil (tea, water etc)/fever/to run a temperature/(coll.) to let things go to one's head",shao1,燒
烛,1,,,candle/(literary) to illuminate,zhu2,燭
报告,2,,,"to inform/to report/to make known/report/speech/talk/lecture/CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]",bao4 gao4,報告
班长,1,,,class monitor/squad leader/team leader/CL:個|个[ge4],ban1 zhang3,班長
放,1,,,to put/to place/to release/to free/to let go/to let out/to set off (fireworks),fang4,放
东西,1,,,east and west,dong1 xi1,東西
留,1,,,old variant of 留[liu2],liu2,㽞
长,1,,,length/long/forever/always/constantly,chang2,長
政,1,,,political/politics/government,zheng4,政
东,1,,,surname Dong,Dong1,東
兵,2,,,soldiers/a force/an army/weapons/arms/military/warlike/CL:個|个[ge4],bing1,兵
心,1,,,"heart/mind/intention/center/core/CL:顆|颗[ke1],個|个[ge4]",xin1,心
厂,1,,,"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc",han3,厂
人,4,,,"person; people/CL:個|个[ge4],位[wei4]",ren2,人
叹,1,,,to sigh/to exclaim,tan4,嘆
管,1,,,variant of 管[guan3],guan3,筦
给,1,,,to/for/for the benefit of/to give/to allow/to do sth (for sb)/(grammatical equivalent of 被)/(grammatical equivalent of 把)/(sentence intensifier),gei3,給
围,1,,,surname Wei,Wei2,圍
有,2,,,to have; there is/(bound form) having; with; -ful; -ed; -al (as in 有意[you3yi4] intentional),you3,有
死人,3,,,dead person/(coll.) to die; (of a death) to happen,si3 ren2,死人
身上,2,,,on the body/at hand/among,shen1 shang5,身上
扒,1,,,to peel/to skin/to tear/to pull down/to cling to (sth on which one is climbing)/to dig,ba1,扒
冻死,1,,,to freeze to death/to die off in winter,dong4 si3,凍死
穿,2,,,to wear/to put on/to dress/to bore through/to pierce/to perforate/to penetrate/to pass through/to thread,chuan1,穿
活人,1,,,living person,huo2 ren2,活人
要紧,1,,,important/urgent,yao4 jin3,要緊
摸,1,,,to feel with the hand/to touch/to stroke/to grope/to steal/to abstract,mo1,摸
下来,1,,,"to come down/(completed action marker)/(after verb of motion, indicates motion down and towards us, also fig.)/(indicates continuation from the past towards us)/to be harvested (of crops)/to be over (of a period of time)/to go among the masses (said of leaders)",xia4 lai5,下來
照顾,1,,,to take care of/to show consideration/to attend to/to look after,zhao4 gu5,照顧
司,1,,,surname Si,Si1,司
考,1,,,to beat/to hit/variant of 考[kao3]/to inspect/to test/to take an exam,kao3,攷
部,1,,,"ministry/department/section/part/division/troops/board/classifier for works of literature, films, machines etc",bu4,部
看看,1,,,to take a look at/to examine/to survey/(coll.) pretty soon,kan4 kan5,看看
怎么,2,,,how?/what?/why?,zen3 me5,怎麼
贵,1,,,abbr. for Guizhou Province 貴州|贵州[Gui4zhou1],Gui4,貴
少爷,1,,,son of the boss/young master of the house/your son (honorific),shao4 ye5,少爺
没有,2,,,haven't/hasn't/doesn't exist/to not have/to not be,mei2 you3,沒有
押,1,,,to mortgage/to pawn/to detain in custody/to escort and protect/(literary) to sign,ya1,押
了,6,,,"(completed action marker)/(modal particle indicating change of state, situation now)/(modal particle intensifying preceding clause)",le5,了
赌,1,,,to bet; to gamble,du3,賭
债,2,,,debt/CL:筆|笔[bi3],zhai4,債
自古,1,,,(since) ancient times/(from) time immemorial,zi4 gu3,自古
欠债,1,,,to owe a debt/the sum owed,qian4 zhai4,欠債
还,1,,,surname Huan,Huan2,還
道理,1,,,reason/argument/sense/principle/basis/justification/CL:個|个[ge4],dao4 li5,道理
乃,1,,,to be/thus/so/therefore/then/only/thereupon,nai3,乃
福,1,,,surname Fu/abbr. for Fujian province 福建省[Fu2jian4 sheng3],Fu2,福
画押,1,,,to sign/to make one's mark,hua4 ya1,畫押
以为,2,,,to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.),yi3 wei2,以為
饷,2,,,soldier's pay,xiang3,餉
券,1,,,"bond (esp. document split in two, with each party holding one half)/contract/deed (i.e. title deeds)/ticket/voucher/certificate",quan4,券
券,1,,,variant of 券[quan4],quan4,劵
要,1,,,(bound form) to demand; to coerce,yao1,要
要,1,,,to want; to need; to ask for/will; shall; about to/need to; should/if (same as 要是[yao4 shi5])/(bound form) important,yao4,要
命,1,,,"life/fate/order or command/to assign a name, title etc",ming4,命
