term,definition,POS,notes
a-,"a- (not, without, opposite of)",prefix,
a.,alt,adj,Swiss] 
a.,anno,adv,
a.,auch,adv,
a.,am,contraction,
a.,an,prep,
a,letter,letter,
a,alternative form of A,n,
a,abbreviation of a-Moll,noun,
a,abbreviation of Ar,noun,
A,letter,letter,
A,A,n,
A,abbreviation of A-Dur,noun,
A,abbreviation of Ampere,noun,
A,abbreviation of Autobahn,noun,
A,alternative form of Å (symbol for Ångström),noun,
à,at (a specified price or rate of exchange per item),prep,"business, perhaps somewhat dated] "
ä,alternative form of Ä,n,
Ä,A letter used in German orthography: an umlauted version of A,n,
Aa,"poo, poop (faeces)",n,childish] 
Aa,any of several rivers in Germany,prop} {f,
Aa,surname,prop,
AA,initialism of Anonyme Alkoholiker (Alcoholics Anonymous),noun,
AA,initialism of Arbeitsamt,noun,
AA,initialism of Arbeitsanteil,noun,
AA,initialism of Arbeitsanweisung,noun,
AA,initialism of Arbeitsausschuss,noun,
AA,initialism of Assistenzarzt,noun,
AA,initialism of Aufgabeart,noun,
AA,initialism of Ausbildungsabteilung,noun,
AA,initialism of Auslandsabteilung,noun,
AA,initialism of Auswärtiges Amt,noun,
AA,initialism of American Airlines,prop} {f,
Aab,surname,prop,
Aach,any of several rivers in Germany,prop,
Aach,any of several towns and villages in Germany,prop,
Aach,surname,prop,
Aachen,Aachen (city),prop} {n,
Aachener,A native or inhabitant of Aachen,m,
Aachener,"from, of, or pertaining to Aachen",adj,
Aachenerin,A native or inhabitant of Aachen (female),f,
AAD,AAD,symbol,
Aak,A flat cargo vessel used on the Lower Rhine,n,nautical] 
Aake,alternative form of Aak,f,
Aakerbeere,arctic raspberry,f,
Aakerbeere,the fruit of that plant,f,
Aal,eel,m,
Aal,Bad crease or crumple,m,
Aal,torpedo,m,slang] 
aalähnlich,eellike,adj,
aalartig,eellike,adj,
Aalauge,eye of an eel,m,
Aalauge,"idiot, asshole",m,"vulgar, offensive] "
Aalbeere,blackcurrant,f,
aalen,"to hunt eels, to go on an eel-hunt",v,
aalen,"to stretch out, especially laughing (compare rotfl)",vr,colloquial] 
aalen,to relax (eg as on vacation),v,colloquial] 
Aalen,Aalen (city),prop} {n,
Aalfang,"the catching of eels, eel fishing",m,uncountable] 
Aalfang,"an eelbuck, a device placed in flowing water to catch eels",m,countable] 
Aalfang,a pond or place to catch or keep eels,m,"countable, possibly dated] "
Aalfell,eelskin,noun,"dated, rare] "
Aalfett,eel fat,n,
Aalfischer,"eeler, eel fisher",m,
aalförmig,anguilliform,adj,
aalglatt,"very slippery, like the skin of an eel",adj,"literally, fairly rare] "
aalglatt,slippery; unlikely to commit oneself,adj,figurative] 
aalglatt,slick; slimy; professional in a disingenuous way,adj,figurative] 
aalglatter,comparative of aalglatt,adj,
aalglattesten,superlative of aalglatt,adj,
aalgleich,eellike,adj,
Aalhaut,eelskin,f,
Aalkorb,"eel basket, eelpot",m,
Aalleiter,eel ladder,f,
Aalmolch,"amphiuma, conger eel, congo snake (a genus of aquatic salamanders (and thus actually amphibians, and not fish, nor reptiles), the only extant genus within the family Amphiumidae)",m,
Aalmutter,viviparous blenny (Zoarces viviparus),f,
Aalmutter,eelpout (fish of the family Zoarcidae),f,
Aalquappe,burbot (Lota lota),f,
Aalquappe,eelpout (Zoarces viviparus),f,
