term,definition,POS,notes
-a,Suffix indicating the third-person singular past historic of -er verbs,suffix,
a-,"A prefix forming words, especially verbs, that denote entering a state, making progress toward a goal, or the like",prefix,
a-,"a-, non-, -less",prefix,
a,letter,letter,
a,"a, letter: a",mf,
a,alternative form of elle,pron,"Quebec, colloquial] "
a,are (100 square metres),symbol,
a+,alternative form of à plus. cu; ttyl,interj,"text messaging, internet slang, abbreviation] "
A,letter,letter,
à,"A with grave accent, a letter used in French mostly to distinguish some homographs and in transliteration",letter,
à,to [destination],prep,
à,to (until),prep,
à,"on the, to [some directions]",prep,
à,at [said of a particular time],prep,
à,"at, in, on [said of a particular place]",prep,
à,of (belonging to),prep,
à,"till, until [used in farewells]",prep,
à,cooked in or with,prep,cuisine] 
à,Used to make compound nouns to state what something is used for,prep,
à,to [used to express something not completed],prep,before an infinitive] 
à,"Used to describe a part of something, often translated into English as a compound adjective",prep,
à,by,prep,
à,"or, to [used to express an approximate number]",prep,
à,Used to indicate the recipient of certain phrasal verb,prep,
à,with,prep,
â,"A with circumflex, a letter used in French spelling, originally representing the sound /ɑ/",letter,
Â,The letter A with a circumflex,letter,
aa,The surface of an aa lava flow,m,"geology, often, attributive] "
AA,abbreviation of Alcooliques Anonymes,prop} {mp,
aâda,"custom, tradition",f,Algeria] 
aalandais,alternative form of alandais,adj,
aalandais,The dialect of Swedish spoken in Åland,m,
Aalandais,A person from Åland; an Ålander,m,
Aalandaise,feminine noun of Aalandais,f,
Aalborg,Aalborg (capital city),prop,
aalénien,Aalenian,adj,"geology, paleontology] "
Aalénien,The Aalenian period,prop} {m,"geology, paleontology] "
Aar,The Aar river,prop,
Aarau,Aarau (town/and/municipality/non-city capital),prop,
Aaron,Aaron (biblical figure),prop,
Aaron,given name,prop,
aaronais,Of or from Saint-Aaron (Côtes-d'Armor),adj,
aaronique,Aaronic,adj,
Aast,Aast (small village),prop,
aastais,Of or from Aast,adj,
ababouiné,Said of a boat stopped by water's stillness; becalmed,adj,"nautical, archaic, dialectal] "
abaca,"a banana tree, the abaca",m,
abaca,Manilla hemp,m,
abacost,abacost,m,"Africa, chiefly historical] "
abactériémique,abacteremic,adj,pathology] 
abactérien,abacterial,adj,
abacule,a mosaic tessera; tessella; abaculus,m,arts and architecture] 
abader,to allow out; to remove the restrains on,vt,"dialectal, Southern France] "
abader,"to escape, get out, run away, figuratively take off",vp,"dialectal, Southern France] "
abaïer,alternative form of abayer,v,
Abainville,Abainville (small village),prop,
abainvillois,Of or from Abainville,adj,
abaissable,Which can be lowered,adj,
abaissant,"Rendering morally inferior; degrading, demeaning",adj,dated] 
abaissant,lowering,adj,
abaisse,"A piece of dough that has been flattened, usually with a rolling pin",f,cooking] 
abaissé,"abased, lowered",adj,heraldry] 
abaissé,disclosed,adj,heraldry] 
abaisse-langue,a tongue depressor,m,
abaissement,Action of moving or pushing something in a downward direction; a lowering,m,
abaissement,State resulting from having moved down,m,
abaissement,Action of lowering a value; reduction,m,
abaissement,Action of lowering oneself morally; abasement,m,
abaissement,State of something or someone which has lost all pride; abasement,m,dated] 
abaissement,Action of rendering or becoming less powerful,m,archaic] 
abaisser,To lower; to reduce; to bring down,vt,literally] 
abaisser,To come or go down; to descend,vrt,
abaisser,"To humble oneself, demean oneself, stoop; abase, degrade, humiliate",vrt,figuratively] 
abaisseur,Said of a muscle that lowers a body part,adj,anatomy] 
abaisseur,Which reduces or lowers a force like tension or pressure,adj,engineering] 
abaisseur,A muscle or similar body part that moves something downward; a depressor,m,anatomy] 
abajoue,"A pouch in the cheek of some animals, usually used to carry food; a cheek pouch",f,"anatomy, zoology] "
abajoue,A flabby face or cheek,f,slang] 
abaler,To bring down,v,
abaliénation,abalienation,f,obsolete] 
abaliéner,To abalienate,v,
abaloger,To bring down,v,
abalone,The abalone,m,"gastronomy, uncommon] "
abalourdir,to make dull and stupid,vt,
Abancourt,Any of several places in France,prop,
abancourtois,Of or from Abancourt,adj,
abandon,surrender,m,
abandon,abandonment,m,
abandon,complete neglect,m,uncountable] 
abandonnable,abandonable,adj,
abandonnataire,Which benefits from another party giving up something,adj,legal] 
abandonnataire,A natural or moral person who benefits from another party giving up something,mf,legal] 
abandonnateur,Which gives up something,adj,legal] 
abandonnateur,A natural or moral person who gives up something,m,legal] 
abandonné,"given up, abandoned",adj,
abandonné,"abandonee, one who is abandoned",m,
abandonnement,The act of giving up or surrendering when faced with something,m,dated] 
abandonnement,Moral neglect,m,dated] 
abandonnement,The act of abandoning; abandonment,m,dated] 
abandonnement,The state resulting of such an act,m,dated] 
abandonnement,The transfer of goods or other values in a situation of indivision that allow all owners to receive their share,m,legal] 
abandonnément,"with abandon, without any reserve",adv,obsolete] 
abandonner,to give up,v,
abandonner,"to abandon, forsake",v,
abandonneur,Which abandons or gives up,adj,uncommon] 
abandonneur,Somebody who abandons or gives up,m,uncommon] 
abandonneuse,feminine noun of abandonneur,f,
abandonnique,"Suffering from, related to or typical of abandonment anxiety",adj,psychology] 
abandouner,alternative form of abandonner,v,
abaque,An abacus for counting,m,historical] 
abaque,The abacus of a column,m,architecture] 
abaque,A nomogram,m,mathematics] 
abarticulaire,Having to do with the tissues near an articulation; juxta-articular,adj,medicine] 
abasie,abasia,f,
abasourdi,Astonished; dumbfounded,adj,
abasourdi,Stunned or dazed by a loud sound,adj,
abasourdir,to dumbfound; to baffle; to astonish,v,
abasourdir,to stun or daze with a loud sound,v,
abasourdissant,astonishing; bewildering; dumbfounding,adj,
abasourdissant,which stuns or overwhelms by its loudness,adj,
abasourdissement,bewilderment; stupefaction,m,rare] 
abasourdissement,a state of dazedness caused by an overwhelmingly loud sound,m,rare] 
abasside,dated form of abbasside,adj,
abat,giblet,m,
abatant,alternative spelling of abattant,m,
abâtardi,Having suffered change; defiled; bastardized,adj,
abâtardir,to cause something's qualities or defining characteristics to degenerate; to defile or degrade; to bastardize,v,
abâtardir,To degrade; to degenerate; to become bastardized,vp,
abâtardissement,bastardization,m,
abat-chauvée,"pulled wool of low quality, generally detached from the animal's skin by a lime treatment",f,
abatée,alternative spelling of abattée,f,
abat-jour,lampshade,m,
abat-jour,eyeshade,m,dated] 
abat-jour,skylight,m,architecture] 
abats,"offal, giblets",mp,plurale tantum] 
abattable,slaughterable,adj,
abattage,slaughter or butchering for meat,m,
abattage,felling or cutting down of [trees],m,
abattage,"destruction, demolition of (a wall)",m,
abattant,flat and articulated so it can move from a horizontal to a vertical position,adj,
abattant,a lid or flap which can move from a horizontal to a vertical position,m,
abattant,a toilet lid,m,
abattant,any sort of flap,m,rare] 
abattée,A movement of the boat that brings it closer to tailwind,f,nautical] 
abattée,A sudden nosedive of an aircraft due to a speed loss,f,aeronautics] 
abattée,A movement of the wing that brings it down toward the front of the pilot at a more or less pronounced angle,f,paragliding] 
abattement,A diminution of physical or moral strength; dejection; exhaustion; despondency,m,
abattement,A type of allowance or tax deduction,m,finance or legal] 
abattement,A discount,m,"business, rare] "
abattement,obsolete form of abattage,m,
abatteur,someone who fells; who knocks something down,m,
abatteur,a boaster,m,
abatteuse,(forestry) harvester,f,
abattis,rubble,m,
abattis,"An area that has been cleared of trees, but not yet of their stumps",m,Canada] 
abattis,giblets,m,"cooking, plurale tantum] "
abattis,abatis,m,military] 
abattis,limbs,m,"dated, slang, plurale tantum] "
abattoir,slaughterhouse; abattoir,m,
abattre,to butcher; to slaughter for meat,v,
abattre,to shoot dead,v,
abattre,to cut down (a tree),v,
abattre,to destroy or demolish (a wall),v,
abattre,"to fall down, especially of tall things, such as trees",vr,
abattre,to descend upon with violence or furor,vp,
abattre,to strike,vp,of lightning] 
abattu,"dejected, dispirited, demoralized",adj,
abatture,alternative form of abattage,f,archaic] 
abattures,"The traces left by a deer in bushes, ferns and other tall grasses",fp,
abat-vent,chimney cowl,m,
abat-vent,"louver boarding (of window, opening), abat-vent",m,
abat-vent,wind screen,m,agriculture] 
abat-voix,abatvoix,m,
abaxial,abaxial,adj,
abaya,abaya,f,
abayer,archaic spelling of aboyer,v,
abaza,Abaza (language),m,
Abbaretz,Abbaretz (village),prop,
abbarois,Of or from Abbaretz,adj,
abbasside,Related to the Abbassid dynasty or empire,adj,
abbatial,abbatial,adj,
abbatial,The quarters of the abbot and monks within an abbey,m,
abbatiale,An abbey church,f,
abbatiat,abbacy,m,"uncommon, chiefly Roman Catholic] "
abbaye,abbey,f,
abbé,"an abbot, the head of an abbey",m,
abbé,a title or honorific given to priests in general,m,dated] 
Abbecourt,Abbecourt (small village),prop,
Abbécourt,Abbécourt (small village),prop,
abbecourtois,Of or from Abbecourt,adj,
abbécourtois,Of or from Abbécourt,adj,
abbenanais,Of or from Abbenans,adj,
Abbenans,A small vilage in the Doubs department,prop,
abbesse,abbess (female abbot),f,
Abbeville,Abbeville (town),prop,
Abbéville-lès-Conflans,Abbéville-lès-Conflans (small village),prop,
abbevillien,Abbevillian,adj,archaeology] 
Abbevillien,The Abbevillian period,prop} {m,archaeology] 
abbevillois,From or related to the Northern French city of Abbeville,adj,
Abbevillois,Someone from the French city of Abbeville,m,
abbévillois,Of or from Abbéville-lès-Conflans,adj,
Abbevilloise,feminine noun of Abbevillois,f,
abbévilloise,feminine singular of abbévillois,adj,
Abby,given name,prop} {f,rare] 
abc,"ABC, basics, fundamentals, rudiments",m,
abcéder,To form into an abscess; to abscess,vip,medicine] 
abcédographie,A radiography of an abscess,f,medicine] 
abcès,An abscess,m,
Abdallah,Abdallah,prop,
Abdias,Obadiah [biblical character],prop} {m,
abdicataire,Which has abdicated,adj,
abdicatif,abdicative,adj,
abdication,abdication,f,
abdiquer,To abdicate (one's powers),vit,
abdiquer,To give up; to abandon,vi,formal] 
abdo,ab (abdominal muscle),m,"colloquial, rare in the singular] "
abdo,crunch (abdominal exercise),m,colloquial] 
abdomen,abdomen,m,
abdominal,abdominal; of the abdomen,adj,
abdominaux,the abdominal muscles; the abdominals,mp,collective] 
abdominaux,sit-up,mp,plurale tantum] 
abdos,abs (abdominal muscles),mp,
abdos,situps,mp,
Abdoul,given name,prop} {m,
Abdoulaye,"given name, widely used in Islamic West Africa",prop} {m,
Abdoulla,given name,prop,
abducteur,abductor (muscle),m,anatomy] 
abducteur,related to abductor muscles and their movement; abductive,adj,"anatomy, physiology] "
abductif,abductive,adj,"logic, computing] "
abduction,Abductive movement; abduction,f,physiology] 
abduction,Abductive reasoning; abduction,f,"logic, computing] "
Abeau,"given name, a very rare variant of Abel",prop} {m,
abécédaire,alphabetical,adj,obsolete] 
abécédaire,An alphabet primer,m,
abée,"the sluice gate, sluice or flume to a water wheel",f,chiefly historical] 
abeilardiser,to castrate,v,
abeille,"bee, honeybee",f,
abeille,a writer whose style is considered pure like honey,f,figuratively] 
abeillé,Marked with bees,adj,heraldry] 
abeiller,Relative to bees and their keeping,adj,uncommon] 
abeiller,A beehive for bee keeping,m,archaic] 
abeiller,A beekeeper,m,archaic] 
abeiller,A bee-eater,m,archaic] 
abeillier,"alternative form of abeiller (""beehive"")",m,archaic] 
Abel,Abel [biblical character],prop,
Abel,given name,prop,
Abélard,The French philosopher and theologian Abelard,prop,
Abélard,given name,prop,rare] 
abelia,alternative form of abélia,m,rare] 
abélia,A shrub member of Abelia,m,
Abélia,given name,prop} {f,rare] 
abélianiser,To abelianize,v,maths] 
abélie,alternative form of abélia,f,
abélien,abelian,adj,mathematics] 
abélien,Abelian,adj,"Roman Catholicism, historical] "
Abelin,"given name,from a diminutive form of Abel",prop} {m,
Abelin,surname,prop} {m,
abéliser,to charm [all senses],v,
abélite,Abelian (member of a sect living like Abel),mf,
Abelone,given name,prop} {f,"extremely, rare] "
abélonien,Abelian (member of a sect living like Abel),m,
abénaquis,Abenaki,adj,
abénaquis,Abenaki (language),m,
Abénaquis,an Abenaki Native American,m,
Abénaquise,feminine noun of Abénaquis,f,
aber,"A ria, especially one in Brittany",m,geography] 
Aberdeen,Aberdeen (city),prop} {f,
aberdonien,Aberdonian,adj,
Aberdonien,Aberdonian,m,
Aberdonienne,feminine noun of Aberdonien,f,
abérier,To shelter,v,
abérier,To cover,v,
aberrance,character of what is aberrant,f,statistics] 
aberrance,an aberration or anomaly,f,uncommon] 
aberrant,"aberrant, abnormal or anomalous",adj,
aberrant,Which is impossible according to the norms or rules,adj,sciences] 
aberration,aberration,f,
aberration,the state of being aberrant,f,
aberration,aberration,f,astronomy] 
aberration,aberration,f,optics] 
aberration,aberration or mutation,f,physiology] 
aberrer,To make a mistake; to wander in one's judgement,vi,"very, rare] "
aberrer,To skew; to render inexact or aberrant,vt,"very, rare] "
aberrer,To lose oneself or deviate from a straight path,vi,obsolete] 
abessif,Abessive,adj,linguistics] 
abessif,The abessive case,m,linguistics] 
abêtifier,"to make dumb, stupid",v,
abêtifier,"to become dumb, stupid",vr,
abêtir,"to dumb down, render dumb, dim-witted; to deaden the mind of",vit,ergative] 
abêtir,to become dim-witted and foolish,vr,ergative] 
abêtissant,"Slowly rendering dumb, foolish, dim-witted",adj,
abêtissement,Process or result of slowly rendering dim-witted and foolish,m,
abeurver,alternative form of abreuver,v,
abhorrer,"to abominate, to abhor, to loathe",v,
Abidjan,Abidjan (the de facto <<capital>> and largest <<city>> of <<c/Ivory Coast>>),prop,
