term,definition,POS,notes
-а,Noun-forming suffix used to form diminutives of proper names; used after a hard (unpalatalized) consonant,suffix,
-а,Noun-forming suffix used to form abstract nouns and agent nouns from prefixed stems ending in a consonant that becomes a hushing consonant (ш ж ч щ) when iotation. The final consonant of the stem is iotated before this suffix,suffix,
-а,Noun-forming suffix used to form abstract nouns and agent nouns from prefixed stems. The final consonant of the stem is not iotated before this suffix,suffix,
а,The first letter of the Russian Cyrillic alphabet. It is followed by the letter б (b),letter,
а,"The name of the Roman letter A, a in Russian",letter,
а,"but, and (introduces a new or different meaning)",conj,
а,oh! (expressing surprise or realization),interj,
а,(colloquial particle used to seek confirmation) eh,particle,
а,"A, amp, ampere",m inan,
а,"he, she or it (used to point to a particular person)",pron,criminal slang] 
А,The first letter of the Russian Cyrillic alphabet. It is followed by the letter Б (B),letter,
а-а,"ah, aah, oh (expressing understanding or realisation)",interj,
а-а,"aah (a cry of horror, the sound of screaming)",interj,
а-а-а,alternative form of а-а,interj,
аак,"Rhinebarge, a single-masted flat-bottomed barge used on the Rhine for wine transportation",noun,
аам,"aam, an old Dutch and German unit of measure for liquids",noun,
аангич,long-tailed duck (Clangula hyemalis),noun,"dialectal, Kamchatka] "
Аарау,Аарау (town/and/municipality/capital),prop} {m inan,
Аарон,given name,prop,
ааронов,Aaron's [in collocations],adj,possessive] 
Ааронов,Aaron's,adj,
аароновец,follower of Aaron's confession,noun,historical] 
аароновский,Aaron's confession,adj,"relational, historical] "
аароновщина,"Aaron's confession, a minor group of old believers in the second half of the 18th century",noun,
Аахен,Аахен (city),prop,
аба,"aba, a coarse woven cloth",noun,
аба,a cloak-like garment made from aba,noun,
аба,"Well, I never! (expression of surprise)",interj,"dialectal, Ural] "
аба,elder sister,noun,"dialectal, Omsk] "
аба,father's sister,noun,"dialectal, Omsk] "
абаас,malevolent spirit (among the Yakut people),noun,mythology] 
аба-ван,"abat-vent (strips of wood or metal used as windbreaks, particularly in belfries)",noun,architecture] 
аба-вуа,abat-voix (an overhang over a pulpit),m inan,architecture] 
Абадан,Абадан (city),prop,
абаданец,(male) person from Abadan,noun,
абаданка,woman or girl from Abadan,noun,
абаданский,абаданский (city),adj,relational] 
Абаддон,Abaddon,prop,
абажур,lampshade,noun,
абажур,"a visor, worn on the forehead to protect one's eyes from the sun",noun,dated] 
абажур,head,noun,slang] 
абажур,"order, norm (pun on ажур)",noun,"slang, humorous] "
абаз,"abbasi, abazi (a Persian and Georgian coin, worth around twenty kopeks)",noun,historical] 
абаз,A twenty kopek coin,noun,"dialectal, obsolete] "
абаза,a stupid infidel,m anim} {f anim,"dialectal, Crimea, Caucasus, vulgar, dated] "
абаза,a type of horse in the Caucasus,m anim} {f anim,"dialectal, Crimea, Caucasus] "
абаза,a strong wind in the Black Sea coming from the Caucasus region,noun,
абазин,"Abaza, Abazin (member of the Abaza people living in the northwest Caucasus)",noun,
абазинка,"female Abaza, Abazin (female member of the Abaza people living in northwest Caucasus)",noun,
абазинский,Abaza (a people living in the northwest Caucasus),adj,
абазия,abasia,noun,medicine] 
абак,abacus (board for doing calculations),noun,
